hmdb_id	name	pubchem_id	kegg_id	exactmass	formula	inchi_key	super_class	main_class	sub_class	synonym
HMDB00201	DL-Acetylcarnitine	1	C02571	NA	NA	NA	NA	NA	NA	DL-Acetylcarnitine
HMDB00355	3-hydroxymethyl-glutaric acid	10329583	NA	NA	NA	NA	NA	NA	NA	3-hydroxymethyl-glutaric acid
HMDB00407	2-hydroxy-3-methyl-butyric acid	853180	NA	118.062995	C5H10O3	NGEWQZIDQIYUNV-BYPYZUCNSA-N	Fatty Acyls	Fatty acids	Hydroxy FA	2-hydroxy-3-methyl-butyric acid
HMDB00529	5E-dodecenoic acid	5312377	NA	NA	NA	NA	NA	NA	NA	5E-dodecenoic acid
HMDB00555	3-methyl-adipic acid	12292	NA	NA	NA	NA	NA	NA	NA	3-methyl-adipic acid
HMDB00848	Acylcarnitine C18:0	6426855	NA	NA	NA	NA	NA	NA	NA	Acylcarnitine C18:0
HMDB02261	alpha-hydroxy myristic acid	656737	C13790	NA	NA	NA	NA	NA	NA	alpha-hydroxy myristic acid
HMDB05356	TG(16:0/16:0/16:0)[iso]	11147	NA	806.73634	C51H98O6	PVNIQBQSYATKKL-UHFFFAOYSA-N	Glycerolipids	Triradylglycerols	TAG	TG(16:0/16:0/16:0)[iso]; TG 16:0/16:0/16:0 [iso]; 1,2,3-Trihexadecanoyl-sn-glycerol; Barolub LCD; Dynasan 116; Dynosan 114; Glycerin tripalmitate; Glycerol tripalmitate; Glyceryl trihexadecanoate; Glyceryl trihexadecanoic acid; Glyceryl tripalmitate; Palmitic triglyceride; Spezialfett 116; Triglyceride PPP; Triglyceryl palmitate; Tripalmitate; Tripalmitin; Tripalmitoylglycerol
HMDB05357	TG(16:0/16:0/18:0)[iso3]	3246953	C00422	NA	NA	NA	NA	NA	NA	TG(16:0/16:0/18:0)[iso3]; TG 16:0/16:0/18:0 [iso3]; 1-Palmitoyl-2-palmitoyl-3-stearoyl-glycerol; TAG(16:0/16:0/18:0); TAG(50:0); TG(16:0/16:0/18:0); TG(50:0); Tracylglycerol(16:0/16:0/18:0); Tracylglycerol(50:0); Triacylglycerol; Triglyceride
HMDB05359	TG(16:0/16:0/16:1(9Z))[iso3]	9543986	C00422	NA	NA	NA	NA	NA	NA	TG(16:0/16:0/16:1(9Z))[iso3]; TG(16:0/16:0/16:1)[iso3]; TG 16:0/16:0/16:1 [iso3]; 1-Palmitoyl-2-palmitoyl-3-palmitoleoyl-glycerol; TAG(16:0/16:0/16:1); TAG(16:0/16:0/16:1n7); TAG(16:0/16:0/16:1w7); TAG(48:1); TG(16:0/16:0/16:1); TG(16:0/16:0/16:1n7); TG(16:0/16:0/16:1w7); TG(48:1); Tracylglycerol(16:0/16:0/16:1); Tracylglycerol(16:0/16:0/16:1n7); Tracylglycerol(16:0/16:0/16:1w7); Tracylglycerol(48:1); Triacylglycerol; Triglyceride
HMDB05360	TG(16:0/16:0/18:1(9Z))[iso3]	25240460	C00422	NA	NA	NA	NA	NA	NA	TG(16:0/16:0/18:1(9Z))[iso3]; TG(16:0/16:0/18:1)[iso3]; TG 16:0/16:0/18:1 [iso3]; 1-Palmitoyl-2-palmitoyl-3-oleoyl-glycerol; TAG(16:0/16:0/18:1); TAG(16:0/16:0/18:1n9); TAG(16:0/16:0/18:1w9); TAG(50:1); TG(16:0/16:0/18:1); TG(16:0/16:0/18:1n9); TG(16:0/16:0/18:1w9); TG(50:1); Tracylglycerol(16:0/16:0/18:1); Tracylglycerol(16:0/16:0/18:1n9); Tracylglycerol(16:0/16:0/18:1w9); Tracylglycerol(50:1); Triacylglycerol; Triglyceride
HMDB05362	TG(16:0/16:0/18:2(9Z,12Z))[iso3]	25240356	C00422	NA	NA	NA	NA	NA	NA	TG(16:0/16:0/18:2(9Z,12Z))[iso3]; TG(16:0/16:0/18:2)[iso3]; TG 16:0/16:0/18:2 [iso3]; 1-Palmitoyl-2-palmitoyl-3-linoleoyl-glycerol; TAG(16:0/16:0/18:2); TAG(16:0/16:0/18:2n6); TAG(16:0/16:0/18:2w6); TAG(50:2); TG(16:0/16:0/18:2); TG(16:0/16:0/18:2n6); TG(16:0/16:0/18:2w6); TG(50:2); Tracylglycerol(16:0/16:0/18:2); Tracylglycerol(16:0/16:0/18:2n6); Tracylglycerol(16:0/16:0/18:2w6); Tracylglycerol(50:2); Triacylglycerol; Triglyceride
